iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
49,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872851346764907,0.0686920991020248,0.0002840519353249472,1.3134472957170481e-05
50,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872928568435939,0.06869277172945142,0.00028404317751643215,1.3128052650286563e-05
51,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729133004062876,0.06869264512160862,0.00028403956670637295,1.3130404501335825e-05
52,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872922181348644,0.06869273599832933,0.0002840312875188836,1.3138152760923742e-05
53,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729995881428824,0.06869340696370346,0.0002840247551354494,1.3128986329942432e-05
54,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872984200621593,0.06869328142514015,0.0002840195741733439,1.3132238190473619e-05
55,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04873061538005062,0.0686939529737324,0.00028401255292682026,1.3123575355049883e-05
56,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729407098711236,0.06869292881730416,0.0002839948562935892,1.3125904304557986e-05
57,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872924829021821,0.06869280768720033,0.00028398481586809794,1.3135984130316118e-05
58,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872933543835207,0.06869289999822265,0.0002839744203485967,1.3145736401957451e-05
59,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872933463664191,0.06869290070521322,0.0002839736843896868,1.3146651011619857e-05
60,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729326484008004,0.06869290789464101,0.00028396498679016645,1.315747068917126e-05
61,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729324693660106,0.0686929094734659,0.00028396320868974716,1.3159685061657047e-05
62,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872932181521246,0.06869291201183599,0.0002839603567968981,1.3163238420594952e-05
63,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872932181521246,0.06869291201183599,0.0002839603567968981,1.3163238420594952e-05
64,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872932181521246,0.06869291201183599,0.0002839603567968981,1.3163238420594952e-05
65,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872932181521246,0.06869291201183599,0.0002839603567968981,1.3163238420594952e-05
66,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872932181521246,0.06869291201183599,0.0002839603567968981,1.3163238420594952e-05
67,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872932130588302,0.06869291246099017,0.00028395981342250944,1.316391568770121e-05
68,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872932079656373,0.0686929129101354,0.00028395927005911393,1.3164593018400529e-05
69,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729316722237584,0.06869291650309664,0.00028395492339937774,1.3170014136423768e-05
70,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729270820370145,0.06869295698191746,0.0002839094455929968,1.3227028720988314e-05
71,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872926794815656,0.06869295951479953,0.00028390659990817273,1.3230614113255698e-05
72,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872926388177996,0.06869296310076364,0.0002839022616856025,1.3236084031158295e-05
73,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872926337354558,0.06869296354895396,0.0002839017194757881,1.3236768026024028e-05
74,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872926177434134,0.06869296495922429,0.000283900251440112,1.3238620325327957e-05
75,0.8933333333333333,0.1534781924429512,1.0,0.0,0.0487292604385204,0.06869296613722821,0.0002838989245935525,1.3240294956013534e-05
76,0.8933333333333333,0.1534781924429512,1.0,0.0,0.0487292588394843,0.06869296754735059,0.00028389745670881104,1.3242148120609488e-05
77,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729258121734606,0.06869296818030375,0.00028389674558922464,1.3243046089035315e-05
78,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729254056844536,0.0686929717649594,0.00028389240892952094,1.324852503271011e-05
79,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729249992602176,0.06869297534904491,0.00028388807297221447,1.3254007917606731e-05
80,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872924948463452,0.06869297579700041,0.0002838875310455052,1.3254693531429922e-05
81,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872924542112057,0.06869297938044469,0.00028388319587819167,1.3260180840476906e-05
82,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729241358253975,0.0686929829633191,0.0002838788614129323,1.3265672073483196e-05
83,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872924085045827,0.06869298341112326,0.00028387831967269906,1.3266358729570991e-05
84,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923881934725,0.06869298520227671,0.0002838761527895653,1.3269106005815533e-05
85,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729238311602086,0.06869298565003637,0.00028387561110415117,1.326979296758535e-05
86,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923780386706,0.06869298609778711,0.0002838750694297086,1.327047999043237e-05
87,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923729614213,0.06869298654552895,0.0002838745277662243,1.327116707435708e-05
88,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923678842729,0.06869298699326193,0.00028387398611368997,1.3271854219353976e-05
89,0.8933333333333333,0.1534781924429512,1.0,0.0,0.048729236280722586,0.06869298744098597,0.000283873444472132,1.3272541425373384e-05
90,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923424997551,0.06869298923181905,0.0002838712779837,1.3275290899924497e-05
91,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923424997551,0.06869298923181905,0.0002838712779837,1.3275290899924497e-05
92,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923424997551,0.06869298923181905,0.0002838712779837,1.3275290899924497e-05
93,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923424997551,0.06869298923181905,0.0002838712779837,1.3275290899924497e-05
94,0.8933333333333333,0.1534781924429512,1.0,0.0,0.04872923424997551,0.06869298923181905,0.0002838712779837,1.3275290899924497e-05
